Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497280.036735695,3927592002,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.036749139,3927592042,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.045662464,3927592072,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.045715109,3927592100,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.045732918,3927592140,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497280.045746938,3927592163,,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.045761566,3927592203,,172.16.0.8,5760,10.241.115.1,38510,66
1679497280.045775216,3927592217,136,172.16.0.8,5760,10.241.115.1,38510,86
1679497280.055481197,3927592251,,172.16.0.8,5760,10.241.115.1,38510,356
1679497280.100656615,4045124048,66,10.241.115.1,38510,172.16.0.8,5760,70
1679497280.118037098,3927592555,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.118242772,3927592684,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.118277946,3927592753,0,172.16.0.8,5760,10.241.115.1,38510,73
1679497280.126636330,3927592774,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.126721437,3927592903,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.126789055,3927592972,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.126833213,3927593012,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.126853047,3927593042,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.144816510,3927593070,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.166032483,3927593199,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.196596099,3927593268,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.196718074,3927593397,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.236685794,3927593466,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.236797741,3927593595,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.236813688,3927593664,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.236822620,3927593704,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.245889511,3927593734,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.245996159,3927593762,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.246016865,3927593891,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.276618716,3927593960,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.276750503,3927594089,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.316386770,3927594158,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.316437702,3927594287,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.316466194,3927594356,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.316477205,3927594396,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497280.326372024,3927594426,,172.16.0.8,5760,10.241.115.1,38510,80
1679497280.347892848,3927594454,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.347958881,3927594583,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.396823659,3927594652,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.397010416,3927594692,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497280.397139973,3927594715,,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.397180096,3927594755,,172.16.0.8,5760,10.241.115.1,38510,66
1679497280.397190678,3927594769,136,172.16.0.8,5760,10.241.115.1,38510,86
1679497280.397229012,3927594803,,172.16.0.8,5760,10.241.115.1,38510,86
1679497280.405611041,3927594837,32,172.16.0.8,5760,10.241.115.1,38510,92
1679497280.405820522,3927594877,241,172.16.0.8,5760,10.241.115.1,38510,84
1679497280.406006581,3927594909,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.406033266,3927595038,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.415046477,3927595107,1,172.16.0.8,5760,10.241.115.1,38510,344
